epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,79.5491,1.59246,1.12071,1.44699,0.74409,0.78049,0.76024,0.33813,1.88235,1.39989,1.74863,0.0006865,0.0006865,0.0006865
116,80.4028,1.49641,0.98765,1.31504,0.73535,0.7456,0.73436,0.32038,1.84718,1.45248,1.75226,0.00068375,0.00068375,0.00068375
117,81.0478,1.44138,0.98656,1.26123,0.68227,0.78568,0.73812,0.34796,1.77777,1.42626,1.73628,0.000681,0.000681,0.000681
118,81.7131,1.44644,1.08711,1.37517,0.72953,0.7561,0.75169,0.3405,1.75075,1.46078,1.7308,0.00067825,0.00067825,0.00067825
119,82.3735,1.67505,1.05782,1.37421,0.71998,0.65854,0.66794,0.32727,1.75179,1.49565,1.74271,0.0006755,0.0006755,0.0006755
120,83.0319,1.56515,1.35529,1.447,0.70018,0.60976,0.64816,0.31237,1.79866,1.56361,1.78393,0.00067275,0.00067275,0.00067275
121,83.6933,1.55111,1.00776,1.30836,0.64754,0.62746,0.62783,0.30224,1.84099,1.57572,1.8217,0.00067,0.00067,0.00067
122,84.3747,1.40386,1.04514,1.30264,0.78595,0.63415,0.68412,0.33005,1.84111,1.50923,1.80936,0.00066725,0.00066725,0.00066725
123,85.0327,1.58159,1.04943,1.35264,0.78723,0.63174,0.69538,0.35193,1.80722,1.44977,1.75432,0.0006645,0.0006645,0.0006645
124,85.6918,1.55496,1.05998,1.32057,0.81145,0.65854,0.73949,0.36678,1.78507,1.37771,1.70981,0.00066175,0.00066175,0.00066175
125,86.3411,1.54592,0.96919,1.32188,0.78,0.78049,0.77823,0.41097,1.72057,1.28872,1.63602,0.000659,0.000659,0.000659
126,86.9883,1.46001,0.97229,1.26174,0.82025,0.78049,0.80498,0.42847,1.7013,1.21482,1.61398,0.00065625,0.00065625,0.00065625
127,87.6527,1.49613,1.0703,1.34077,0.801,0.78547,0.79511,0.44611,1.65847,1.2018,1.59851,0.0006535,0.0006535,0.0006535
128,88.3072,1.38779,0.91192,1.25296,0.76024,0.7561,0.76494,0.44289,1.60535,1.26337,1.58157,0.00065075,0.00065075,0.00065075
129,88.9482,1.64737,1.37148,1.5084,0.79638,0.78049,0.74475,0.41465,1.61756,1.35145,1.58905,0.000648,0.000648,0.000648
130,89.5988,1.44877,1.05192,1.33823,0.75649,0.75773,0.71954,0.40176,1.64929,1.37147,1.60576,0.00064525,0.00064525,0.00064525
131,90.2379,1.56724,1.06381,1.35792,0.72553,0.7561,0.72749,0.38569,1.68906,1.34549,1.62468,0.0006425,0.0006425,0.0006425
132,90.8774,1.56116,1.05427,1.28465,0.75121,0.81017,0.77365,0.4025,1.69661,1.27502,1.62652,0.00063975,0.00063975,0.00063975
133,91.5047,1.28578,4.65131,1.13044,0.77525,0.80488,0.8,0.41831,1.73018,1.18176,1.62875,0.000637,0.000637,0.000637
134,92.1469,1.54515,1.27955,1.35936,0.89946,0.82927,0.85011,0.43272,1.77476,1.15505,1.64193,0.00063425,0.00063425,0.00063425
135,92.7936,1.50181,1.0275,1.2724,0.8879,0.82927,0.86613,0.43614,1.818,1.11408,1.65345,0.0006315,0.0006315,0.0006315
